Order,ID,Archive_ID,Title,URL,Snippet,Phrase,HasPhrase,SpeakerVisible,HandsVisible,HandsVisibleGenerous,HandsFree,HandsFreeGenerous,Aspect,Agent,Animacy,Negated,Contrasted,SpeakerName,Duplicate,NonNative,HandsMoving,NounPlural,ContextMove,WhichHand,HandConfig,PalmOrientation,MovementVertical,MovementHorizontal,MovementSagittal,Duration,StrokeDuration,OfInterest,Comments
11,317,CNN_20111217_070000_Anderson_Cooper_360,"Anderson Cooper 360 : CNN : December 17, 2011 2:00am-3:00am EST",https://archive.org/download/CNN_20111217_070000_Anderson_Cooper_360/CNN_20111217_070000_Anderson_Cooper_360.mp4?t=2987/3047?ignore=x.mp4," forward. there's a very low standard for this kind of hearing. but this is a problematic case against the administrators. i don't think it's a slam dunk at all. because it's one thing for him to recount this today. it's another thing to prove exactly what he told the administrators and how, sort of, the game of telephone worked for them to know what happened and what they did afterwards. >> so he may have seen that, but it all depends on what he exactly told them. and also told joe paterno. >> and told joe paterno. and you know, the lack of urgency that this university showed. i mean, you know, here we're hearing this story and we are repelled that people in a position to do something about it, to find the kid, to help the kid, to help other kids, completely absent. >> right. and you wouldn't even think -- i don't know if it came up today, but mike mcqueary would be obsessed with finding that child. >> with finding that child, and making sure that this guy not only was off the penn state's campus, but not doing this to kids again. i mean, you would think he would be calling the police. >>",low_standards,yes,yes,neither,neither,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,623,CSPAN3_20150623_183000_Politics__Public_Policy_Today,"Politics & Public Policy Today : CSPAN3 : June 23, 2015 2:30pm-4:31pm EDT",https://archive.org/download/CSPAN3_20150623_183000_Politics__Public_Policy_Today/CSPAN3_20150623_183000_Politics__Public_Policy_Today.mp4?t=6587/6647?ignore=x.mp4," low standards should be high, resources will always be low. but my hope isn't what i share with you, it's replicable. so in jennings the first thing that i want you to know, in terms of health care, just like you have an eye exam and ear exam, you should really have as well a mental health screening when you come through the door. [ applause ] so every one of our schools has a mental health therapist. that's the first piece. it's just part of what we do. we do it for our students, we do it through our families. we are through wash u and a pirater inship with wash u building a hospital clinic. i committed spaces for classrooms. you can take those classrooms on the end of that building and turn it into a hospital. we're helping pay for the construction. it opened in january, the rest of construction is finishing. that means we have a pediatrician on staff. not only will they serve jennings students but they'll serve anybody in jennings because it doesn't matter if you come to jennings your child is my child, we are all interconnected in this thing. [ applause ] pre-school. in this sta",low_standards,yes,yes,both,both,one,one,NA,NA,NA,no,yes,NA,no,NA,yes,NA,NA,R,closed,NA,down,NA,NA,NA,NA,NA,NA
13,804,CSPAN2_20130824_030000_Capitol_Hill_Hearings,"Capitol Hill Hearings : CSPAN2 : August 23, 2013 11:00pm-6:01am EDT",https://archive.org/download/CSPAN2_20130824_030000_Capitol_Hill_Hearings/CSPAN2_20130824_030000_Capitol_Hill_Hearings.mp4?t=2449/2509?ignore=x.mp4," gadhafi. i know italy had a low standard of living before 1814. >> host: michael, where are you going with this? >> caller: well, there are other examples of japan 1930 after the stock market crash i read that's what call the mill tarrist to rise to power. >> host: i think we got the point. thank you for your call. did you understand what he was talking? >> guest: i think the gist of what he's saying, yeah, there are underlying causes for nations to go to war whether they are political, economic, or economic and political. yes, if you look at the end of the war you recognize that the seeds of world war ii were planted there and all the rest of european history plays out ultimately. that's undisputable. >> host: kenneth e-mails in my grandmother born in 1879 ha children. i remember pooring over disr poring over her scrapbook. i look forward to reading your latest. how much is the home front covered in your book. >> guest: not a lot. i break away periodically to come back here to the conferences held in washington in may of 1943 and take a series of snap snapshots. my books are basicall",low_standards,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,593,CSPAN_20160817_091000_Heritage_Foundation_Hosts_a_Discussion_on_Welfare_Reform,"Heritage Foundation Hosts a Discussion on Welfare Reform : CSPAN : August 17, 2016 5:10am-6:31am EDT",https://archive.org/download/CSPAN_20160817_091000_Heritage_Foundation_Hosts_a_Discussion_on_Welfare_Reform/CSPAN_20160817_091000_Heritage_Foundation_Hosts_a_Discussion_on_Welfare_Reform.mp4?t=4011/4071?ignore=x.mp4,", and they do not look to see whether low income means low spending means really a low standard of living, and most importantly, they use broken income data that is beyond repair. so where does that leave us in terms of reform? let me just mention this briefly, existing block grants may be insufficiently responsive to economic downturns and provide states too much spending latitude, but that is an open question. worker requirements probably could be improved. besides family living standards and work, we should also be thinking about nonmarital fertility, which is way too high. unfortunately, we lack good evidence that making welfare more work centered decreases nonmarital fertility. but even small reductions would be important given the costs of nonmarital fertility that are so high. ok. concluding, i think we could cap productive discussion about how the safety net, including the program, should be reformed, to ensure that work is encouraged, but statements about the rise in extreme poverty are based on faulty data and should be dismissed. conservatives should acknowledge that our",low_standards,yes,yes,neither,neither,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,536,WBAL_20110805_110000_Today,"Today : WBAL : August 5, 2011 7:00am-9:00am EDT",https://archive.org/download/WBAL_20110805_110000_Today/WBAL_20110805_110000_Today.mp4?t=425/485?ignore=x.mp4," for this market. the good news is we already have low standards here. the bar has been lowered. we're expecting a tough month. >> stronger than 2008 in this country. weaker over there. keep in mind, stronger. doom and gloom, not correct right now. >> jim cramer, maria bartimoro. back to studio 1-a and ann. >>> now to the brutal heat wave covering the entire southern portion of the united states. more records were shattered on thursday. it will be another scorcher today. nbc jenna chablis is in houston, texas. >> the demand on the power grid in texas is so great. there is fear of why spread outages today at a time when fans and air conditioners are not just necessities, they are necessities. they are not just creature comforts. right now people are hoping that it cools off. it doesn't look like it for much of the south. >> do not take these temperatures lightly. there is is nothing -- there's nothing trivial about this at all. >> reporter: in memphis where the heat is being blamed for the deaths of a police officer and public works employee. city leaders are pleading with residents to ",low_standards,yes,yes,one,both,both,both,NA,NA,NA,no,no,NA,no,NA,yes,yes,NA,R,halfway,inward,NA,NA,front,NA,NA,NA,NA
16,136,RT_20121103_140000,"RT : November 3, 2012 10:00am-10:30am EDT",https://archive.org/download/RT_20121103_140000/RT_20121103_140000.mp4?t=1257/1317?ignore=x.mp4, spite your ribs on going debt crisis and eurozone unemployment hits new record. and diving deep into low standards and high finance here's what's to come in the kaiser report that will be two hours from now. i mean dude all right here it's got all you need to flick massive paint on this possessed devil of finance on wall street and you can tack to various locations here and cause serious genital discomfort so it's right there oh damn that's gotta hurt buddy or else go ahead i'm all right here in the head right here near your blade master's inspired praise did you go j.b. how do you know that. report is it's here and well just about two hours from now medics in canada have come up with a very explicit way of warning against the health risks of obesity but critics say the alarming labeling will unfairly and inaccurately equate every day meals and drinks with more home full substances like tobacco and go he's told botan explains . imagine you're about to bite into your pizza when you see this disease liver or perhaps you're taking a swig of your drink when this diseased foot catches your ey,low_standards,yes,yes,neither,one,one,one,NA,NA,NA,no,no,NA,no,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,206,CSPAN2_20161215_063900_Afghan_Ambassador_Hamdullah_Mohib_Discusses_U.S.-Afghanistan_Relations,"Afghan Ambassador Hamdullah Mohib Discusses U.S.-Afghanistan Relations : CSPAN2 : December 15, 2016 1:39am-3:11am EST",https://archive.org/download/CSPAN2_20161215_063900_Afghan_Ambassador_Hamdullah_Mohib_Discusses_U.S.-Afghanistan_Relations/CSPAN2_20161215_063900_Afghan_Ambassador_Hamdullah_Mohib_Discusses_U.S.-Afghanistan_Relations.mp4?t=3446/3506?ignore=x.mp4," off affecting route and attrition rates, but perhaps i have a very low standard. but to paraphrase lawrence of arabia is better to a tolerable than perfect it is their nation in their fight to we are there to help them not win it for them. so that is my benchmark yes it is not perfect, but it could be a helluva lot worse and we should improve this. and it is in our interest common dado, afghan that they can continue to take the fight to the insurgency in this is where funding gets so important and controversial. afghanistan is unable to pay solely for the of funding for the security forces by 2024 they can start paying for their own security forces. i do know that they need considerable help from the united states. and look at the big to provide to bring those forces into the fight which is a bargain to the u.s. taxpayer the administration requested 3.$5 billion fiscal year 2017. this is what the u.s. spent that bohai the of the war in 2012 every 10 days in afghanistan. so 3.5 billion may seem like a lot. it is, but with the overall picture in terms of the investment of what it wou",low_standards,yes,yes,neither,neither,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,405,CNNW_20140727_150000_Reliable_Sources,"Reliable Sources : CNNW : July 27, 2014 8:00am-9:01am PDT",https://archive.org/download/CNNW_20140727_150000_Reliable_Sources/CNNW_20140727_150000_Reliable_Sources.mp4?t=1735/1795?ignore=x.mp4," by fatah. i've never been kidnapped by hamas. maybe that's a low standard of judging who is nice to you, but i think hamas is fairly sophisticated about this. but yes, they definitely don't want you to see certain things. they definitely want their story portrayed a certain way. >> thank you so much for sharing what you experience day to day as someone who covers these conflicts all the time. >> thanks for having me. >>> now we need to fit in a break here but when we come back, we'll switch topics to the other huge story dominating the news this week. that's the crash of mh flight 17. hear from one of cnn's journalists who spent time at the crash site and whose first instinct was to fall to his knees and say a prayer there. he'll join me right after this. ] the mercedes-benz summer event is here. now get the unmistakable thrill... and the incredible rush... of the mercedes-benz you've always wanted. ♪ [ tires screech ] but you better get here fast... [ daughter ] yay, daddy's here! here you go, honey. thank you. [ male announcer ] ...because a good thing like this... phew! [ male ",low_standards,yes,yes,neither,neither,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,532,KPIX_20141124_150000_CBS_This_Morning,"CBS This Morning : KPIX : November 24, 2014 7:00am-9:01am PST",https://archive.org/download/KPIX_20141124_150000_CBS_This_Morning/KPIX_20141124_150000_CBS_This_Morning.mp4?t=3826/3886?ignore=x.mp4," indictment that could take days upon days. in a case of indictment we're looking at a low standard of probable cause. remember this, however, there is also the question of the missouri law of a police officer's right to use self defense and to use defense as an extraordinary power of the police. much stronger than in other states. >> ferguson has been described as a city on edge. over the weekend we kept hearing it looks like the grand jury will dietindict. what do you make of all these leaks? >> i don't think there are leaks. i think there are no leaks. i think what has happened is unfortunately there are reporters who get information that they then jump to the conclusion that there are leaks. yopg anyone knows what is happening within that grand jury room, and the the unfortunate part of certain members of the media as well as outside agitators is the ginning it up factor. we have no idea what is going on in there beyond deliberations. >> we asked several questions because we really don't know. >> we don't know. but there are a variety of charges, charlie. >> indeed. and what is the",low_standards,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,772,FOXNEWSW_20150504_100000_FOX_and_Friends,"FOX and Friends : FOXNEWSW : May 4, 2015 3:00am-6:01am PDT",https://archive.org/download/FOXNEWSW_20150504_100000_FOX_and_Friends/FOXNEWSW_20150504_100000_FOX_and_Friends.mp4?t=9679/9739?ignore=x.mp4," wasden i said to myself. i was surprised they were killing him. maybe i have low standards. >> i think you should sing it. everyone in the park should sing it. >> there is two things that happened. seeing justin bieber walk out with mayweather weird. >> you try to figure that out. now this coming up a 25-year-old cop fighting for his life after being shot in the face. this as anti-police rhetoric rages on. >> baltimore police department your day of justice has come. put them behind bars. lock them up. >> many asking where is that same outrage when an officer is a victim. congressman peter king has been along the bedside of that injured cop. he'll react live with us next. success starts with the right connections. introducing miracle-gro liquafeed universal feeder. turn any hose connection into a clever feeding system for a well-fed garden. miracle-gro. life starts here. you're driving along, having a perfectly nice day, when out of nowhere a pick-up truck slams into your brand new car. one second it wasn't there and the next second... boom! you've had your first accident. now you have ",low_standards,yes,yes,both,both,both,both,NA,NA,NA,no,no,brian kilmeade,no,no,yes,yes,NA,both,open,inward,up,NA,NA,NA,NA,NA,NA
21,596,CSPAN2_20150824_160000_Key_Capitol_Hill_Hearings,"Key Capitol Hill Hearings : CSPAN2 : August 24, 2015 12:00pm-2:01pm EDT",https://archive.org/download/CSPAN2_20150824_160000_Key_Capitol_Hill_Hearings/CSPAN2_20150824_160000_Key_Capitol_Hill_Hearings.mp4?t=5705/5765?ignore=x.mp4," 9th is okay facilitation society to such low standards that it borders on pure unbridled racism. michalis conclusion here unbridled racism. i suppose i could make john a chuckle by asking him if the international assessment of what happened in haiti on august 9th as someone they can to putting lipstick on a. i never thought i would quote sarah palin. so what comes next? apart from usual average and the candidates have learned they can not see it as day-to-day with which we all know is coming and perhaps some of this may be justifiable. we will find out. apart from the wringing of hands among actors who will accept or be resigned to accept that have a flawed electoral charade on the so-called national leaders gives jobs immunity and ask us to. aside from the usual vows to fix for some miraculous intervention all that was wrong in the first round, what does come next? it seems most believe the show must go on. if that the case, perhaps there's some good news coming out of this. i find it encouraging cvb intends to fix the problem by redoing legislative racism and lower chamber sea",low_standards,yes,yes,neither,neither,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,444,CNNW_20171024_200000_The_Lead_With_Jake_Tapper,"The Lead With Jake Tapper : CNNW : October 24, 2017 1:00pm-2:00pm PDT",https://archive.org/download/CNNW_20171024_200000_The_Lead_With_Jake_Tapper/CNNW_20171024_200000_The_Lead_With_Jake_Tapper.mp4?t=3136/3196?ignore=x.mp4,", low standard, the debasement of our nation is what he will be remembered most for and he's obviously not going to rise to the occasion as president. i would hope the staff over there would figure out ways of controlling him. world leaders are very aware that much of what he says is untrue. he purposely is breaking down relationships we have around the world that have been useful to our nation. >> do you think he's a role model to children in the united states? >> no. >> you don't? >> no, absolutely not. >> do you regret supporting him in the election? >> let's just put it this way, i would not do that again. >> you wouldn't support him again? >> no way. no way. >> dana bash, that is some of the strongest language i've ever heard from a senator criticizing the president of his own party, including the clinton impeachment when so many senators expressed abject disgust with the behavior of president clinton, but these accusations and allegations and charges from senator corker are really -- cut to the core of somebody he finds to almost be irredeemable. >> no question. look, i",low_standards,yes,yes,neither,neither,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,665,CSPAN_20160924_110000_Washington_Journal,"Washington Journal : CSPAN : September 24, 2016 7:00am-10:01am EDT",https://archive.org/download/CSPAN_20160924_110000_Washington_Journal/CSPAN_20160924_110000_Washington_Journal.mp4?t=781/841?ignore=x.mp4," low standard, what i mean by that is it's obvious there is a problem with policemen shooting black people. that's been going on ever since we've had police departments set up in the united states. had before that when you fugitive slave acts, slave chasers, etc. we have always had a problem with so-called law enforcement and black people in the united states. a lot of us have fought for the flag. every race on this planet has fought for this flag because america is a melting pot. likeyou get athletes protesting during the national anthem because a makef our blood has helped the sacrifice for this country. the flag is a representation of that sacrifice. host: let me ask you because you brought up kapernick. they are calling it the perilous fight. what is your reaction that he is on the cover? kapernick he is making a great attempt to not only call attention to the problem, but we mustn't forget if his money is not put into the problem, obviously there is going to have to be a change of heart. we know we are not going to have a change of heart because, like i said, it's the -- it's n",low_standards,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,148,WUSA_20141124_233000_CBS_Evening_News_With_Scott_Pelley,"CBS Evening News With Scott Pelley : WUSA : November 24, 2014 6:30pm-7:01pm EST",https://archive.org/download/WUSA_20141124_233000_CBS_Evening_News_With_Scott_Pelley/WUSA_20141124_233000_CBS_Evening_News_With_Scott_Pelley.mp4?t=364/424?ignore=x.mp4," probable cause, that is a fairly low standard, not proof beyond a reasonable doubt which we have in a trial jury, but he has a possibility of being charged with various forms of murder, murder one murder two premeditated intentional, three forms of manslaughter, that is heat of passion reckless, negligent or it all goes up to what we call this high bar scott, which is the high bar because there is an absolute defense for a police officer not only to just use deadly force in self-defense, but in missouri, a statute which gives him extraordinary power to be able to go after a fleeing felon. >> pelley: cbs news legal analyst, john rikki klieman. thank you. after the historic snowfall in the buff he area last week, temperatures were well above freezing today. the seven feet of snow on the ground and on some rooftops is starting to melt. that's raising the risk of flooding. and then there is a nor'easter which is expected to hit the east coast on the eve of thanksgiving.we have more on the threatening weather from jericka duncan. >> reporter: higher temperatures and rapidly melting snow ha",low_standards,yes,yes,neither,both,both,both,NA,NA,NA,no,no,rikki klieman,no,no,yes,no,NA,both,open,down,down,NA,NA,NA,NA,NA,NA
